store,timeformatted,in,out
RAV_DEMO,2019-10-14 15:00:00,8,26
RAV_DEMO,2019-10-14 16:00:00,2,4
RAV_DEMO,2019-10-14 17:00:00,0,0
RAV_DEMO,2019-10-14 18:00:00,0,0
RAV_DEMO,2019-10-14 19:00:00,0,0
RAV_DEMO,2019-10-14 20:00:00,0,0
RAV_DEMO,2019-10-15 07:00:00,2,0
RAV_DEMO,2019-10-15 08:00:00,4,2
RAV_DEMO,2019-10-15 09:00:00,1,0
RAV_DEMO,2019-10-15 10:00:00,0,1
RAV_DEMO,2019-10-15 11:00:00,3,3
RAV_DEMO,2019-10-15 12:00:00,0,3
RAV_DEMO,2019-10-15 13:00:00,1,0
RAV_DEMO,2019-10-15 14:00:00,2,0
RAV_DEMO,2019-10-15 15:00:00,0,0
RAV_DEMO,2019-10-15 16:00:00,0,3
RAV_DEMO,2019-10-15 17:00:00,0,1
RAV_DEMO,2019-10-15 18:00:00,0,0
RAV_DEMO,2019-10-15 19:00:00,0,0
